Timestamp,Open,High,Low,Close,Volume
2022-05-03,2328.6100,2368.8363,2320.6900,2346.6800,1248368
2022-05-04,2340.6300,2457.0900,2302.3200,2445.2200,2487859
2022-05-05,2404.0800,2420.7800,2300.1150,2330.1100,2292029
2022-05-06,2303.6900,2351.4300,2280.3100,2314.9300,1985479
2022-05-09,2265.0000,2301.5418,2240.0101,2250.2200,2040143
2022-05-10,2310.1500,2325.0000,2258.0100,2287.9000,1995019
2022-05-11,2264.7300,2327.2882,2264.7300,2272.0500,1876737
2022-05-12,2227.5500,2285.9000,2196.4900,2256.8800,2691809
2022-05-13,2290.6600,2357.5000,2272.1001,2321.0100,1751924
2022-05-16,2299.1100,2323.4000,2277.7900,2288.9000,1299522
2022-05-17,2336.8100,2338.0000,2297.3950,2329.4600,1152658
2022-05-18,2300.0000,2308.0000,2231.1100,2237.9900,1756299
2022-05-19,2228.6300,2260.2000,2200.0000,2207.6800,1707220
2022-05-20,2239.0200,2243.6700,2115.9272,2178.1600,2448148
2022-05-23,2191.7500,2242.9500,2174.8200,2229.7600,1859247
2022-05-24,2115.4400,2129.1650,2037.6936,2119.4000,3838989
2022-05-25,2099.7100,2130.0000,2077.1300,2116.1000,2012867
2022-05-26,2113.5400,2172.9900,2104.4971,2155.8500,1897361
2022-05-27,2189.6600,2246.3600,2182.7650,2246.3300,1895706
2022-05-31,2254.9300,2314.7000,2241.5700,2275.2400,2500613
2022-06-01,2297.1000,2342.0311,2265.0000,2277.8400,1830276
2022-06-02,2280.0000,2357.9900,2258.9300,2352.4500,1899614
2022-06-03,2321.2500,2326.4325,2270.3700,2290.8200,1306773
2022-06-06,2334.0900,2386.9400,2323.2800,2336.4100,1677077
2022-06-07,2309.6100,2353.8200,2301.0400,2342.9900,1579523
2022-06-08,2335.2300,2371.4100,2332.0000,2343.8800,1305387
2022-06-09,2326.5500,2365.9799,2295.5200,2296.7100,1289898
2022-06-10,2248.9000,2265.5800,2207.3224,2223.2300,2074092
2022-06-13,2135.7300,2175.8300,2122.3836,2127.8500,2362596
2022-06-14,2130.7000,2158.4900,2116.0000,2134.3100,1685313
2022-06-15,2170.9000,2228.4700,2153.3900,2195.2900,1984909
2022-06-16,2144.4200,2172.9700,2102.7601,2120.6700,2584248
2022-06-17,2120.6700,2173.9899,2100.9200,2142.8700,2568826
2022-06-21,2178.5900,2249.7850,2172.0000,2230.8800,2370790
2022-06-22,2211.1300,2266.9300,2207.6475,2229.7500,1538707
2022-06-23,2244.6300,2254.8500,2210.0100,2244.8400,1418096
2022-06-24,2259.9000,2361.5800,2259.0500,2359.5000,2058184
2022-06-27,2365.4600,2371.5900,2303.5937,2316.6700,1821038
2022-06-28,2316.0500,2346.1900,2236.9600,2240.1500,1794048
2022-06-29,2231.0400,2263.2050,2217.4501,2234.0300,1235841
2022-06-30,2200.0000,2217.7600,2135.0000,2179.2600,2158453
2022-07-01,2158.6600,2185.0000,2134.6100,2174.7500,1773783
2022-07-05,2142.0100,2267.5350,2114.6300,2265.2600,1969982
2022-07-06,2266.0400,2311.7900,2229.5200,2291.4400,1871569
2022-07-07,2301.6000,2383.7900,2296.6700,2375.6600,2046794
2022-07-08,2345.0000,2393.7000,2338.0250,2387.0700,1911908
2022-07-11,2359.9600,2359.9600,2306.6100,2313.5300,1562185
2022-07-12,2324.3000,2339.4800,2273.8044,2280.4100,1497985
2022-07-13,2234.0200,2283.9200,2224.0300,2227.0700,2186101
2022-07-14,2204.2100,2221.8600,2167.4600,2207.3500,1850152
2022-07-15,2240.0100,2262.8100,2218.0000,2235.5500,2338456
2022-07-18,112.6400,113.6800,108.3700,109.0300,42847038
2022-07-19,110.8500,114.0200,109.5600,113.8100,36530945
2022-07-20,113.1700,115.4000,112.4800,113.9000,35600426
2022-07-21,114.2800,114.5500,111.1132,114.3400,32676166
2022-07-22,111.0000,112.3400,106.5000,107.9000,48901184
2022-07-25,108.4100,109.8700,106.3000,107.5100,34690894
2022-07-26,106.6000,107.2000,104.0700,105.0200,47990963
2022-07-27,109.2600,113.9100,108.0100,113.0600,59858495
2022-07-28,112.3700,114.3400,111.4600,114.2200,32816568
2022-07-29,113.0800,116.7050,113.0600,116.3200,37223391
2022-08-01,115.3000,116.7200,114.3400,114.8600,26034288
2022-08-02,114.0000,116.3500,113.7200,115.1300,20236029
2022-08-03,115.7100,118.6200,115.4800,118.0800,28499014
2022-08-04,117.4800,118.7800,116.8900,118.1900,21602925
2022-08-05,116.2300,118.1056,116.0000,117.4700,19159520
2022-08-08,118.3900,120.1500,116.8800,117.3000,19169479
2022-08-09,117.1350,117.3200,115.7100,116.6300,19086465
2022-08-10,118.7800,120.9200,118.4100,119.7000,30930350
2022-08-11,121.2800,121.4900,118.5600,118.8400,24293654
2022-08-12,120.2600,121.6800,119.4600,121.6800,19096268
2022-08-15,121.1300,122.3000,120.6100,122.0800,19494825
2022-08-16,121.5200,122.4300,120.6400,121.7000,19041230
2022-08-17,120.1200,121.2900,119.3800,119.5500,22846958
2022-08-18,119.4300,120.8200,118.7200,120.1700,17987660
2022-08-19,119.0600,119.1500,116.7600,117.2100,21809528
2022-08-22,115.2000,115.6300,113.8500,114.2400,21456648
2022-08-23,113.4750,115.0100,113.4300,113.8600,15870373
2022-08-24,113.5000,114.7800,112.8701,113.6900,17734624
2022-08-25,114.2350,116.7200,114.1100,116.6500,16956794
2022-08-26,114.7200,115.1200,110.1900,110.3400,37245697
2022-08-29,109.9900,110.9500,108.8000,109.4200,21098514
2022-08-30,110.1700,110.5000,107.8000,108.9400,27513255
2022-08-31,110.6500,110.8500,108.1300,108.2200,28626972
2022-09-01,108.2800,110.4450,107.3600,109.7400,28360926
2022-09-02,110.5900,110.7400,107.2600,107.8500,24160711
2022-09-06,107.3000,108.0300,105.7800,106.8100,24994273
2022-09-07,107.0600,109.9800,106.9000,109.4500,23166967
2022-09-08,108.0400,109.6000,107.1600,108.3800,24238293
2022-09-09,109.0650,110.9900,109.0200,110.6500,23213585
2022-09-12,110.9900,111.6200,109.9300,110.8600,22966752
2022-09-13,107.8000,108.3000,104.0900,104.3200,38172871
2022-09-14,104.5700,105.2750,103.6600,105.0000,26395134
2022-09-15,104.0300,105.2700,102.3500,102.9100,34188284
2022-09-16,102.0700,103.1300,100.9400,102.8000,42797172
2022-09-19,101.7500,103.3300,101.5500,103.0700,23036811
2022-09-20,102.0800,102.3700,100.5200,101.1400,26517123
2022-09-21,101.6700,102.8800,99.2700,99.2800,31487265
2022-09-22,98.8200,101.2400,98.7900,100.1400,33986096
2022-09-23,99.6300,99.6600,97.4700,98.7400,31625437
2022-09-26,98.1000,99.8800,97.8000,98.1700,27072662
2022-09-27,99.4300,100.0000,96.8720,97.5000,30072781
2022-09-28,97.6500,100.7000,97.1100,100.0500,32466323
2022-09-29,98.6400,98.6400,95.9600,97.4200,31047224
2022-09-30,97.0500,98.9000,95.5600,95.6500,32941493
2022-10-03,96.7600,99.2872,96.5210,98.6400,27982031
2022-10-04,100.4400,101.8400,100.3800,101.6400,28850773
2022-10-05,99.8250,101.9300,98.8000,101.4300,22176903
2022-10-06,100.6800,102.9254,100.5900,101.4200,22323989
2022-10-07,99.8500,100.5300,98.2950,98.6800,27502765
2022-10-10,99.0000,99.0950,97.0100,97.8600,18225094
2022-10-11,97.4300,99.2450,96.3100,97.1800,26507103
2022-10-12,97.3000,98.7500,96.7350,97.5600,21876362
2022-10-13,95.1500,99.7750,94.3836,99.0600,34574549
2022-10-14,99.9900,100.6900,96.3700,96.5600,25410674
2022-10-17,98.8600,100.9300,98.8300,99.9700,28419192
2022-10-18,103.1300,103.4700,99.9700,100.7700,24060671
2022-10-19,100.0100,101.0183,98.9201,99.6300,23811064
2022-10-20,100.0000,102.3200,99.3900,99.9700,25323202
2022-10-21,97.8450,101.3100,97.7200,101.1300,32458722
2022-10-24,101.8000,102.7500,99.9800,102.5200,27176417
2022-10-25,102.9000,104.8200,102.7200,104.4800,40611375
2022-10-26,96.4300,98.3100,94.6900,94.9300,88279042
2022-10-27,94.5200,95.4300,91.8000,92.2200,60710859
2022-10-28,92.2700,96.5500,92.1300,96.2900,43697286
2022-10-31,95.4200,96.0300,93.9800,94.5100,31675036
2022-11-01,95.4500,96.0300,90.3700,90.4700,47161351
2022-11-02,90.9400,91.1800,86.8800,86.9700,57038282
2022-11-03,86.3200,86.5200,83.3400,83.4300,61288019
2022-11-04,85.4000,86.6400,83.7100,86.5800,51124904
2022-11-07,87.2800,88.9000,86.8500,88.4900,34078912
2022-11-08,88.9000,90.3200,87.5901,88.9000,30429025
2022-11-09,88.4500,89.4350,87.2800,87.3200,31769099
2022-11-10,92.2500,94.3900,91.6100,93.9400,51620136
2022-11-11,94.6900,96.9300,93.9200,96.4100,33090482
2022-11-14,95.0900,96.7900,94.5100,95.7000,30179539
2022-11-15,98.2600,100.1400,96.7100,98.4400,41640816
2022-11-16,97.9000,99.6375,97.6400,98.8500,29105154
2022-11-17,96.9700,99.2800,96.7900,98.3600,26052599
2022-11-18,98.7700,98.9000,96.3700,97.4300,28342297
2022-11-21,97.2900,98.4000,95.3550,95.6000,21647387
2022-11-22,95.9500,97.2200,94.0500,97.0500,23438480
2022-11-23,97.0900,98.7600,97.0900,98.4600,18868092
2022-11-25,98.2400,98.6400,97.4000,97.4600,9701441
2022-11-28,97.0363,97.5800,95.6100,96.0500,26252433
2022-11-29,95.7300,96.1200,94.1100,95.1900,20061720
2022-11-30,94.8200,101.0400,94.4200,100.9900,43647481
2022-12-01,101.0200,102.2500,100.2500,100.9900,28687096
2022-12-02,99.0500,100.7700,98.9000,100.4400,21480703
2022-12-05,99.4000,101.3800,99.0000,99.4800,24405087
2022-12-06,99.3000,99.7800,96.4200,96.9800,24910655
2022-12-07,96.4100,96.8811,94.7150,94.9400,31045449
2022-12-08,95.3800,95.5800,93.4500,93.7100,32213288
2022-12-09,93.7700,94.2600,92.7500,92.8300,28225448
2022-12-12,92.7100,93.5600,91.6100,93.3100,29009013
2022-12-13,97.7600,99.5300,95.0300,95.6300,40593656
2022-12-14,95.2000,96.8700,93.6000,95.0700,28733599
2022-12-15,93.1300,93.6400,90.0100,90.8600,40107033
2022-12-16,90.7600,91.3300,89.5200,90.2600,58011847
2022-12-19,90.2550,90.5600,88.2100,88.4400,29493030
2022-12-20,88.1100,89.1750,87.4401,89.0200,23453836
2022-12-21,89.0800,90.2200,88.3200,89.5800,24745637
2022-12-22,88.1600,88.5400,86.3200,87.7600,27658293
2022-12-23,87.1100,89.5450,87.0700,89.2300,23003035
2022-12-27,88.7950,88.9400,87.0100,87.3900,20097346
2022-12-28,86.9800,88.0400,85.9400,86.0200,19523176
2022-12-29,86.6200,88.8450,86.6100,88.4500,23333537
2022-12-30,86.9800,88.3000,86.5700,88.2300,23986297
